"Gene","DPI3.lfc","DPI3.padj","DPI4.lfc","DPI4.padj","DPI5.lfc","DPI5.padj"
"ENSCSAG00000007182",0.223875642824275,0.319546251771368,0.0574554513248509,0.786711617084851,0.166351848365313,0.439292960461406
"ENSCSAG00000007184",-0.140464778265679,0.567808700907556,-0.0142951404881878,0.96337069982037,-0.141080442809405,0.560462756900779
"ENSCSAG00000007187",-0.131073526461177,0.586087336079025,-0.057284813800476,0.81837069122367,-0.0891953516190594,0.71649530653416
"ENSCSAG00000007220",0.0288179149298412,0.934930676408415,-0.0100455985357311,0.973309516541779,0.149724702683853,0.539070243374611
"ENSCSAG00000007304",-0.346362503159769,0.184266949953383,-0.204354570440798,0.389608798842747,-0.18674752588245,0.442875837231029
"ENSCSAG00000007319",-0.0714938293697582,0.770794219069992,-0.0535355711593479,0.821920582171238,-0.101532197325049,0.663650203013775
"ENSCSAG00000007333",-0.0510138383723597,0.470182069964452,-0.00541100986391444,0.9556266671942,-0.0239698938618854,0.79187352038489
"ENSCSAG00000007335",0.0157057967754208,0.944140543310371,-0.00382235665781138,0.982868472209583,-0.0668250067324609,0.701869411228701
"ENSCSAG00000007357",-0.458912695069744,0.112660509847765,-0.108539726053839,0.549205339378285,-0.129711757259713,0.525430708947443
"ENSCSAG00000007386",-0.345637240547655,0.189287840583728,-0.367486051124237,0.161951192193464,-0.249138662509767,0.316547541248563
"ENSCSAG00000007389",0.47896120549821,0.111469202801588,0.280646389812539,0.260600669956608,0.0820939601189033,0.76848675601258
"ENSCSAG00000007406",0.180276398018803,0.458873367874663,0.0825342787821366,0.75233394801301,0.151935317649543,0.539729799626674
"ENSCSAG00000007440",0.54864076791197,0.111138362103667,0.727041323588728,0.0720801251075174,0.146998032919735,0.511352693074235
"ENSCSAG00000007441",-0.100441733281998,0.617102088839354,-0.138564400345245,0.435277027635601,-0.148388296250578,0.455111876188101
"ENSCSAG00000007442",0.0601858228500974,0.335635359671282,0.0909287526296616,0.0240433314671515,0.124942647208679,0.00687070127539313
"ENSCSAG00000007450",-2.15338240215833,1.01972707190661e-07,-1.22864345181473,0.00179865160458052,-0.887537918225959,0.0120959476336527
"ENSCSAG00000007460",-0.198466752729831,0.403957756555993,-0.0606254165990048,0.826420131634454,-0.0607843772141181,0.817693193473701
"ENSCSAG00000007461",-0.0328336376897038,0.878037270271286,0.0439172458808841,0.822439734957515,-0.00597619420797343,0.976328944701063
"ENSCSAG00000007471",1.00501761638214,0.00776659679581519,0.785581193098982,0.032062807709389,0.695488462131739,0.0445129886606744
"ENSCSAG00000007497",-0.0686592683854543,0.758709139884415,-0.0153495025759071,0.949395448916758,-0.0245839717207918,0.919147582089263
